chromosome,start,end,coverage
III,249,251,374
VIII,212664,212665,362
VIII,212666,212667,361
VIII,212669,212670,361
VIII,212670,212671,362
VIII,212671,212672,364
VIII,212678,212679,376
VIII,212679,212681,371
VIII,212681,212683,372
VIII,212683,212684,373
VIII,212684,212685,371
VIII,212685,212687,384
VIII,212687,212688,361
VIII,212688,212690,363
VIII,212721,212722,361
VIII,212910,212912,362
VIII,212914,212915,362
VIII,212915,212916,364
VIII,212916,212917,366
VIII,212917,212918,367
VIII,212928,212929,380
VIII,212929,212930,379
VIII,212930,212931,378
VIII,212931,212932,384
VIII,212932,212933,365
VIII,212933,212934,383
VIII,212934,212935,382
VIII,212935,212937,393
VIII,212937,212938,384
VIII,212938,212940,388
VIII,212940,212941,387
VIII,212941,212942,390
VIII,212942,212944,378
VIII,212944,212945,377
VIII,212945,212946,379
VIII,212946,212948,380
VIII,212948,212950,379
VIII,212950,212951,378
VIII,212951,212952,379
VIII,212952,212954,374
VIII,212954,212955,371
VIII,212955,212956,370
VIII,212956,212957,372
VIII,212957,212960,371
VIII,212960,212961,369
VIII,212961,212963,363
VIII,212963,212964,362
VIII,212965,212967,361
VIII,212967,212968,370
VIII,212968,212970,373
VIII,212970,212971,376
VIII,212971,212972,375
VIII,212972,212973,374
VIII,212973,212974,377
VIII,212974,212975,375
VIII,212975,212976,377
VIII,212976,212977,370
VIII,212977,212978,376
VIII,212978,212979,361
VIII,212979,212981,362
VIII,212981,212982,363
VIII,212982,212983,362
VIII,212983,212984,367
VIII,213001,213003,366
VIII,213003,213004,382
VIII,213004,213005,381
VIII,213005,213006,374
VIII,213006,213007,376
VIII,213007,213009,378
VIII,213009,213010,376
VIII,213010,213012,375
VIII,213012,213013,376
VIII,213013,213014,382
VIII,213014,213016,379
VIII,213016,213017,375
VIII,213017,213018,382
VIII,213018,213020,386
VIII,213020,213024,377
VIII,213024,213025,382
VIII,213025,213026,371
VIII,213037,213039,363
VIII,213039,213042,361
VIII,213042,213043,363
VIII,213043,213045,362
VIII,213047,213048,362
VIII,213049,213051,361
VIII,213075,213076,361
VIII,213076,213077,362
VIII,213077,213079,395
VIII,213083,213084,363
VIII,213085,213086,366
VIII,213132,213133,372
VIII,213133,213134,376
VIII,213134,213135,367
VIII,213135,213136,366
VIII,213136,213137,361
VIII,213139,213140,363
VIII,213143,213144,362
VIII,213144,213145,363
VIII,213145,213146,369
VIII,213146,213147,364
VIII,213147,213148,365
VIII,213921,213923,362
VIII,213925,213926,367
VIII,213926,213927,369
VIII,213927,213928,368
VIII,213928,213929,369
VIII,214046,214048,416
VIII,214048,214050,411
VIII,214056,214057,382
VIII,214057,214058,383
VIII,214063,214064,404
VIII,214064,214065,406
VIII,214065,214066,402
VIII,214066,214067,396
VIII,214068,214069,394
VIII,214069,214070,393
VIII,214071,214072,365
VIII,214072,214073,364
VIII,214074,214075,378
VIII,214075,214076,379
VIII,214079,214081,373
VIII,214081,214082,369
VIII,214086,214088,374
VIII,214088,214091,375
VIII,214091,214092,372
VIII,214092,214093,371
VIII,214093,214094,372
VIII,214094,214095,371
VIII,214095,214097,376
VIII,214097,214098,382
VIII,214099,214102,393
VIII,214102,214105,396
VIII,214105,214106,399
VIII,214107,214108,407
VIII,214108,214111,406
VIII,214111,214114,426
VIII,214116,214117,457
VIII,214117,214118,458
VIII,214118,214119,468
VIII,214119,214120,470
VIII,214123,214124,441
VIII,214124,214125,442
VIII,214125,214127,426
VIII,214128,214132,428
VIII,214133,214135,439
VIII,214135,214137,438
VIII,214138,214140,429
VIII,214140,214142,427
VIII,214142,214143,423
VIII,214146,214147,459
VIII,214151,214153,481
VIII,214153,214154,483
VIII,214161,214164,512
VIII,214165,214166,518
VIII,214166,214168,519
VIII,214168,214170,518
VIII,214170,214171,514
VIII,214173,214174,518
VIII,214174,214179,516
VIII,214179,214181,517
VIII,214182,214184,520
VIII,214185,214187,515
VIII,214187,214189,520
VIII,214192,214195,500
VIII,214198,214200,432
VIII,214204,214205,429
VIII,214205,214206,433
VIII,214206,214207,434
VIII,214210,214212,449
VIII,214215,214219,469
VIII,214230,214235,462
VIII,214242,214244,486
VIII,214251,214253,512
VIII,214254,214256,518
VIII,214259,214262,511
VIII,214263,214265,493
VIII,214273,214275,450
VIII,214275,214279,448
VIII,214280,214281,443
VIII,214281,214283,449
VIII,214285,214287,467
VIII,214290,214291,509
VIII,214291,214292,508
VIII,214292,214293,521
VIII,214293,214294,520
VIII,214299,214301,513
VIII,214301,214302,494
VIII,214302,214304,493
VIII,214304,214307,529
VIII,214308,214310,485
VIII,214310,214311,482
VIII,214311,214313,483
VIII,214316,214317,483
VIII,214317,214319,485
VIII,214319,214320,487
VIII,214320,214322,486
VIII,214322,214323,485
VIII,214323,214325,478
VIII,214326,214329,486
VIII,214329,214331,487
VIII,214332,214334,482
VIII,214336,214338,488
VIII,214339,214340,481
VIII,214340,214341,482
VIII,214341,214342,479
VIII,214342,214343,478
VIII,214343,214346,465
VIII,214346,214349,460
VIII,214352,214354,464
VIII,214356,214357,450
VIII,214357,214358,449
VIII,214369,214371,400
VIII,214374,214375,397
VIII,214375,214377,396
VIII,214377,214378,398
VIII,214379,214381,390
VIII,214381,214383,394
VIII,214383,214384,398
VIII,214384,214385,395
VIII,214386,214388,395
VIII,214389,214391,405
VIII,214393,214395,387
VIII,214398,214399,377
VIII,214399,214400,376
VIII,214400,214402,387
VIII,214402,214403,388
VIII,214406,214408,383
VIII,214408,214409,384
VIII,214409,214411,383
VIII,214412,214413,392
VIII,214413,214414,391
VIII,214414,214418,390
VIII,214418,214421,391
