chromosome,start,end,coverage
III,202,203,997
III,214,216,1038
III,226,228,1002
III,245,246,831
III,253,254,849
III,254,255,837
III,255,256,913
III,256,257,892
III,258,259,841
III,259,260,846
III,261,262,840
III,262,263,849
III,263,264,836
III,264,265,859
III,265,266,857
III,266,267,866
VIII,214118,214119,822
VIII,214119,214120,823
VIII,214151,214153,843
VIII,214153,214154,845
VIII,214162,214164,937
VIII,214165,214166,953
VIII,214166,214168,954
VIII,214168,214169,953
VIII,214169,214171,954
VIII,214173,214174,965
VIII,214174,214175,962
VIII,214175,214177,961
VIII,214177,214178,964
VIII,214178,214179,965
VIII,214179,214180,970
VIII,214180,214181,975
VIII,214181,214183,984
VIII,214185,214187,990
VIII,214187,214188,1004
VIII,214192,214193,970
VIII,214193,214194,972
VIII,214198,214199,826
VIII,214199,214200,827
VIII,214204,214205,838
VIII,214205,214206,843
VIII,214206,214207,845
VIII,214217,214219,871
VIII,214230,214231,858
VIII,214231,214232,857
VIII,214233,214234,857
VIII,214234,214235,858
VIII,214235,214237,859
VIII,214242,214244,875
VIII,214251,214253,920
VIII,214259,214260,922
VIII,214262,214264,887
VIII,214264,214265,886
VIII,214285,214286,846
VIII,214286,214287,854
VIII,214290,214292,923
VIII,214292,214293,947
VIII,214293,214294,948
VIII,214299,214301,946
VIII,214301,214302,928
VIII,214302,214304,927
VIII,214304,214306,971
VIII,214309,214311,873
VIII,214311,214313,874
VIII,214316,214317,867
VIII,214317,214318,865
VIII,214318,214319,864
VIII,214319,214320,866
VIII,214320,214321,865
VIII,214321,214323,866
VIII,214323,214324,850
VIII,214324,214325,849
VIII,214326,214328,850
VIII,214328,214329,847
VIII,214329,214330,846
VIII,214332,214333,832
VIII,214333,214334,829
VIII,214336,214337,819
VIII,562473,562474,834
VIII,562474,562475,875
VIII,562475,562476,853
VIII,562476,562477,862
VIII,562477,562478,853
VIII,562478,562479,825
VIII,562482,562483,869
VIII,562483,562484,855
VIII,562501,562502,1095
VIII,562502,562503,1088
VIII,562542,562543,1157
VIII,562543,562544,1156
VIII,562553,562554,842
VIII,562561,562562,872
VIII,562562,562563,857
VIII,562563,562564,818
VIII,562564,562565,847
VIII,562566,562567,848
VIII,562567,562568,856
VIII,562568,562569,817
XII,451442,451443,862
XII,451443,451444,888
XII,451444,451445,889
XII,451445,451446,892
XII,451446,451447,898
XII,451447,451448,963
XII,451448,451450,964
XII,451452,451453,1019
XII,451453,451454,1021
XII,451455,451457,1114
XII,451467,451468,1399
XII,451468,451469,1401
XII,451474,451475,1805
XII,451475,451476,1804
XII,451476,451477,1805
XII,451483,451484,1980
XII,451484,451485,1983
XII,451485,451486,1985
XII,451486,451487,1988
XII,451495,451497,2183
XII,451500,451501,2296
XII,451501,451502,2299
XII,451503,451504,2455
XII,451504,451505,2456
XII,451513,451515,2853
XII,451518,451519,3165
XII,451528,451529,3390
XII,451529,451530,3394
