chromosome,start,end,coverage
III,143,144,449
III,144,145,444
III,145,146,450
III,147,148,445
III,148,149,443
III,150,152,443
III,152,153,453
III,153,154,454
III,158,159,461
III,160,161,450
III,162,163,438
III,164,165,456
III,165,166,455
III,166,167,440
III,167,168,457
III,168,169,458
III,169,170,472
III,170,171,467
III,173,174,440
III,174,175,436
III,175,176,445
III,180,181,444
III,182,183,460
III,183,184,461
III,201,203,556
III,245,246,457
III,251,253,518
III,253,254,486
III,254,255,481
III,255,256,514
III,256,257,506
III,258,259,481
III,259,260,476
III,260,261,444
III,261,262,474
III,262,263,483
III,263,264,474
III,264,265,495
III,265,266,493
III,266,267,496
III,267,268,476
III,270,271,436
III,272,273,452
III,282,283,439
III,287,288,437
IV,528204,528205,439
IV,528205,528207,453
IV,528207,528209,452
IV,528211,528212,459
IV,528212,528214,458
IV,528214,528215,465
IV,528215,528216,464
IV,528216,528217,469
IV,528217,528218,477
IV,528218,528220,475
IV,528220,528221,467
IV,528221,528223,474
IV,528223,528225,477
IV,528225,528226,494
IV,528226,528228,496
IV,528228,528230,497
IV,528230,528233,499
IV,528233,528235,482
IV,528235,528237,498
IV,528237,528238,469
IV,528238,528239,461
IV,528239,528240,460
IV,528240,528241,464
IV,528241,528243,474
IV,528243,528244,480
IV,528244,528246,465
IV,528246,528247,470
IV,528247,528248,469
IV,528248,528249,476
IV,528249,528250,469
IV,528250,528252,460
IV,528252,528253,459
IV,528253,528255,460
IV,528255,528256,475
IV,528256,528257,480
IV,528257,528258,488
IV,528258,528260,489
IV,528260,528261,486
IV,528261,528262,483
IV,528262,528264,495
IV,528264,528265,489
IV,528265,528266,490
IV,528266,528267,489
IV,528267,528269,491
IV,528269,528271,496
IV,528271,528272,488
IV,528272,528273,493
IV,528273,528274,492
IV,528274,528275,511
IV,528275,528276,543
IV,528276,528277,542
IV,528277,528278,543
IV,528278,528279,542
IV,528279,528281,523
IV,528281,528282,525
IV,528282,528283,535
IV,528283,528284,537
IV,528284,528285,522
IV,528285,528286,532
IV,528286,528287,523
IV,528287,528289,536
IV,528289,528290,528
IV,528290,528291,529
IV,528291,528292,522
IV,528292,528293,518
IV,528293,528294,517
IV,528294,528297,505
IV,528297,528299,521
IV,528299,528300,522
IV,528300,528301,521
IV,528301,528302,520
IV,528302,528303,513
IV,528303,528304,511
IV,528304,528305,510
IV,528305,528306,509
IV,528306,528307,508
IV,528307,528308,519
IV,528308,528309,522
IV,528309,528310,527
IV,528310,528312,523
IV,528312,528313,524
IV,528313,528314,525
IV,528314,528315,527
IV,528315,528317,525
IV,528317,528318,559
IV,528318,528319,558
IV,528319,528323,561
IV,528323,528324,562
IV,528324,528326,595
IV,528326,528327,593
IV,528327,528328,594
IV,528328,528329,586
IV,528329,528330,611
IV,528330,528331,614
IV,528331,528332,613
IV,528332,528333,615
IV,528333,528334,602
IV,528334,528335,616
IV,528335,528336,605
IV,528336,528337,606
IV,528337,528338,601
IV,528338,528339,593
IV,528339,528340,603
IV,528340,528341,602
IV,528341,528342,601
IV,528342,528343,583
IV,528343,528344,571
IV,528344,528345,590
IV,528345,528346,589
IV,528346,528347,600
IV,528347,528348,601
IV,528348,528349,599
IV,528349,528350,606
IV,528350,528351,604
IV,528351,528353,608
IV,528353,528354,609
IV,528354,528355,612
IV,528355,528356,605
IV,528356,528357,639
IV,528357,528358,640
IV,528358,528359,641
IV,528359,528360,644
IV,528360,528361,641
IV,528361,528362,630
IV,528362,528364,616
IV,528364,528365,637
IV,528365,528366,631
IV,528366,528367,641
IV,528367,528368,684
IV,528368,528369,694
IV,528369,528370,697
IV,528370,528371,698
IV,528371,528372,699
IV,528372,528373,700
IV,528373,528374,699
IV,528374,528375,698
IV,528375,528376,701
IV,528376,528377,680
IV,528377,528378,696
IV,528378,528379,697
IV,528379,528380,699
IV,528380,528381,700
IV,528381,528382,696
IV,528382,528383,702
IV,528383,528384,719
IV,528384,528386,725
IV,528386,528387,707
IV,528387,528388,706
IV,528388,528389,709
IV,528389,528391,712
IV,528391,528392,708
IV,528392,528394,700
IV,528394,528395,695
IV,528395,528396,696
IV,528396,528397,699
IV,528397,528398,692
IV,528398,528399,700
IV,528399,528400,695
IV,528400,528401,698
IV,528401,528402,699
IV,528402,528404,700
IV,528404,528405,701
IV,528405,528406,703
IV,528406,528407,718
IV,528407,528408,717
IV,528408,528409,708
IV,528409,528410,713
IV,528410,528412,714
IV,528412,528413,715
IV,528413,528414,703
IV,528414,528415,713
